PLZ99,PLZ99_N,PLZORT99
01067,1067,Dresden
01069,1069,Dresden
01097,1097,Dresden
01099,1099,Dresden
01109,1109,Dresden
01127,1127,Dresden
01129,1129,Dresden
01139,1139,Dresden
01157,1157,Dresden
01159,1159,Dresden
01169,1169,Dresden
01187,1187,Dresden
01189,1189,Dresden
01217,1217,Dresden
01219,1219,Dresden
01237,1237,Dresden
01239,1239,Dresden
01257,1257,Dresden
01259,1259,Dresden
01277,1277,Dresden
01279,1279,Dresden
01307,1307,Dresden
01309,1309,Dresden
01324,1324,Dresden
01326,1326,Dresden
01445,1445,Radebeul
01454,1454,Radeberg
01458,1458,Ottendorf-Okrilla
01462,1462,Cossebaude
01465,1465,Langebrück
01468,1468,Reichenberg
01471,1471,Radeburg
01474,1474,Schönfeld-Weißig
01477,1477,Arnsdorf b. Dresden
01478,1478,Weixdorf
01558,1558,Großenhain
01561,1561,Großenhain
01587,1587,Riesa
01589,1589,Riesa
01591,1591,Riesa
01594,1594,Riesa
01609,1609,Gröditz
01612,1612,Nünchritz
01616,1616,Strehla
01619,1619,Zeithain
01623,1623,Lommatzsch
01640,1640,Coswig
01662,1662,Meißen
01665,1665,Meißen
01683,1683,Nossen
01689,1689,Weinböhla
01705,1705,Freital
01723,1723,Wilsdruff
01728,1728,Bannewitz
01731,1731,Kreischa
01734,1734,Rabenau
01737,1737,Tharandt
01738,1738,Colmnitz
01744,1744,Dippoldiswalde
01762,1762,Schmiedeberg
01768,1768,Glashütte
01773,1773,Altenberg
01774,1774,Höckendorf
01776,1776,Hermsdorf/Erzgeb.
01778,1778,Geising
01796,1796,Pirna
01809,1809,Heidenau
01814,1814,Bad Schandau
01816,1816,Bad Gottleuba
01819,1819,Berggießhübel
01824,1824,Königstein/Sächs.Schw.
01825,1825,Liebstadt
01827,1827,Graupa
01829,1829,Stadt Wehlen
01833,1833,Stolpen
01844,1844,Neustadt i. Sa.
01847,1847,Lohmen
01848,1848,Hohnstein
01855,1855,Sebnitz
01877,1877,Bischofswerda
01896,1896,Pulsnitz
01900,1900,Großröhrsdorf
01904,1904,Neukirch/Lausitz
01906,1906,Bischofswerda
01909,1909,Großharthau
01917,1917,Kamenz
01920,1920,Deutschbaselitz
01936,1936,Königsbrück
01945,1945,Ruhland
01968,1968,Senftenberg
01979,1979,Lauchhammer
01983,1983,Großräschen
01987,1987,Schwarzheide N.L.
01990,1990,Ortrand
01993,1993,Schipkau
01994,1994,Annahütte
01996,1996,Hosena
01998,1998,Klettwitz
02625,2625,Bautzen
02627,2627,Weißenberg
02633,2633,Göda
02681,2681,Wilthen
02689,2689,Sohland a. d. Spree
02692,2692,Obergurig
02694,2694,Großdubrau
02699,2699,Königswartha
02708,2708,Löbau
02727,2727,Neugersdorf
02730,2730,Ebersbach
02733,2733,Cunewalde
02736,2736,Oppach
02739,2739,Eibau
02742,2742,Neusalza-Spremberg
02744,2744,Oberoderwitz
02747,2747,Herrnhut
02748,2748,Bernstadt
02763,2763,Zittau
02779,2779,Großschönau
02782,2782,Seifhennersdorf
02785,2785,Olbersdorf
02788,2788,Hirschfelde
02791,2791,Niederoderwitz
02794,2794,Leutersdorf
02796,2796,Jonsdorf
02797,2797,Oybin
02799,2799,Waltersdorf
02826,2826,Görlitz
02827,2827,Görlitz
02828,2828,Görlitz
02829,2829,Görlitz
02894,2894,Reichenbach/O.L.
02899,2899,Görlitz
02906,2906,Niesky
02923,2923,Niesky
02929,2929,Rothenburg/O.L.
02943,2943,Weißwasser
02953,2953,Bad Muskau
02956,2956,Rietschen
02957,2957,Krauschwitz
02959,2959,Schleife
02977,2977,Hoyerswerda
02979,2979,Hoyerswerda
02991,2991,Lauta
02994,2994,Bernsdorf
02997,2997,Wittichenau
02999,2999,Lohsa
03042,3042,Cottbus
03044,3044,Cottbus
03046,3046,Cottbus
